scene,floor,image1,image2,label
Bowlus,2,2,6,0
Bowlus,2,2,7,0
Bowlus,2,3,4,0
Bowlus,2,3,5,0
Bowlus,2,3,6,0
Bowlus,2,3,7,0
Bowlus,2,4,5,0
Bowlus,2,4,6,0
Bowlus,2,4,7,0
Bowlus,2,5,6,0
Bowlus,2,5,7,1
Bowlus,2,6,7,0
Bowlus,1,0,1,0
Bowlus,1,0,2,0
Bowlus,1,0,3,1
Bowlus,1,0,4,0
Bowlus,1,0,5,0
Bowlus,1,0,6,0
Bowlus,1,0,7,0
Bowlus,1,0,8,0
Bowlus,1,0,9,0
Bowlus,1,0,10,0
Bowlus,1,0,11,0
Bowlus,1,0,12,0
Bowlus,1,0,13,0
Bowlus,1,0,14,0
Bowlus,1,0,15,0
Bowlus,1,1,2,0
Bowlus,1,1,3,0
Bowlus,1,1,4,0
Bowlus,1,1,5,0
Bowlus,1,1,6,0
Bowlus,1,1,7,0
Bowlus,1,1,8,0
Bowlus,1,1,9,1
Bowlus,1,1,10,0
Bowlus,1,1,11,0
Bowlus,1,1,12,0
Bowlus,1,1,13,0
Bowlus,1,1,14,0
Bowlus,1,1,15,0
Bowlus,1,2,3,0
Bowlus,1,2,4,0
Bowlus,1,2,5,0
Bowlus,1,2,6,0
Bowlus,1,2,7,0
Bowlus,1,2,8,0
Bowlus,1,2,9,0
Bowlus,1,2,10,0
Bowlus,1,2,11,0
Bowlus,1,2,12,0
Bowlus,1,2,13,0
Bowlus,1,2,14,0
Bowlus,1,2,15,0
Bowlus,1,3,4,0
Bowlus,1,3,5,0
Bowlus,1,3,6,0
Bowlus,1,3,7,0
Bowlus,1,3,8,0
Bowlus,1,3,9,0
Bowlus,1,3,10,0
Bowlus,1,3,11,0
Bowlus,1,3,12,0
Bowlus,1,3,13,0
Bowlus,1,3,14,0
Bowlus,1,3,15,0
Bowlus,1,4,5,0
Bowlus,1,4,6,1
Bowlus,1,4,7,0
Bowlus,1,4,8,0
Bowlus,1,4,9,0
Bowlus,1,4,10,1
Bowlus,1,4,11,0
Bowlus,1,4,12,0
Bowlus,1,4,13,0
Bowlus,1,4,14,1
Bowlus,1,4,15,0
Bowlus,1,5,6,0
Bowlus,1,5,7,0
Bowlus,1,5,8,0
Bowlus,1,5,9,0
Bowlus,1,5,10,0
Bowlus,1,5,11,0
Bowlus,1,5,12,0
Bowlus,1,5,13,1
Bowlus,1,5,14,0
Bowlus,1,5,15,0
Bowlus,1,6,7,0
Bowlus,1,6,8,0
Bowlus,1,6,9,0
Bowlus,1,6,10,1
Bowlus,1,6,11,0
Bowlus,1,6,12,1
Bowlus,1,6,13,0
Bowlus,1,6,14,1
Bowlus,1,6,15,0
Bowlus,1,7,8,0
Bowlus,1,7,9,0
Bowlus,1,7,10,0
Bowlus,1,7,11,0
Bowlus,1,7,12,0
Bowlus,1,7,13,0
Bowlus,1,7,14,0
Bowlus,1,7,15,0
Bowlus,1,8,9,1
Bowlus,1,8,10,0
Bowlus,1,8,11,0
Bowlus,1,8,12,0
Bowlus,1,8,13,0
Bowlus,1,8,14,0
Bowlus,1,8,15,0
Bowlus,1,9,10,0
Bowlus,1,9,11,0
Bowlus,1,9,12,0
Bowlus,1,9,13,0
Bowlus,1,9,14,0
Bowlus,1,9,15,0
Bowlus,1,10,11,0
Bowlus,1,10,12,1
Bowlus,1,10,13,1
Bowlus,1,10,14,0
Bowlus,1,10,15,0
Bowlus,1,11,12,0
Bowlus,1,11,13,0
Bowlus,1,11,14,0
Bowlus,1,11,15,1
Bowlus,1,12,13,1
Bowlus,1,12,14,0
Bowlus,1,12,15,0
Bowlus,1,13,14,0
Bowlus,1,13,15,0
Bowlus,1,14,15,0
Bowlus,0,0,1,1
Bowlus,0,0,2,0
Bowlus,0,0,3,1
Bowlus,0,0,4,1
Bowlus,0,1,2,0
Bowlus,0,1,3,1
Bowlus,0,1,4,1
Bowlus,0,2,3,0
Bowlus,0,2,4,0
Bowlus,0,3,4,0
Convoy,0,0,1,1
Convoy,0,0,2,0
Convoy,0,0,3,1
Convoy,0,0,4,1
Convoy,0,0,5,0
Convoy,0,0,6,1
Convoy,0,0,7,0
Convoy,0,1,2,1
Convoy,0,1,3,1
Convoy,0,1,4,0
Convoy,0,1,5,0
Convoy,0,1,6,1
Convoy,0,1,7,1
Convoy,0,2,3,0
Convoy,0,2,4,0
Convoy,0,2,5,1
Convoy,0,2,6,1
Convoy,0,2,7,0
Convoy,0,3,4,0
Convoy,0,3,5,0
Convoy,0,3,6,1
Convoy,0,3,7,1
Convoy,0,4,5,1
Convoy,0,4,6,0
Convoy,0,4,7,0
Convoy,0,5,6,0
Convoy,0,5,7,0
Convoy,0,6,7,1
Cooperstown,0,0,1,0
Cooperstown,0,0,2,0
Cooperstown,0,0,3,0
Cooperstown,0,0,4,0
Cooperstown,0,0,5,1
Cooperstown,0,0,6,1
Cooperstown,0,1,2,1
Cooperstown,0,1,3,1
Cooperstown,0,1,4,1
Cooperstown,0,1,5,1
Cooperstown,0,1,6,0
Cooperstown,0,2,3,1
Cooperstown,0,2,4,1
Cooperstown,0,2,5,1
Cooperstown,0,2,6,0
Cooperstown,0,3,4,1
Cooperstown,0,3,5,1
Cooperstown,0,3,6,0
Cooperstown,0,4,5,0
Cooperstown,0,4,6,1
Cooperstown,0,5,6,0
Delton,0,0,1,1
Delton,0,0,2,0
Delton,0,0,3,0
Delton,0,0,4,0
Delton,0,0,5,1
Delton,0,0,6,0
Delton,0,1,2,0
Delton,0,1,3,1
Delton,0,1,4,1
Delton,0,1,5,0
Delton,0,1,6,0
Delton,0,2,3,0
Delton,0,2,4,0
Delton,0,2,5,0
Delton,0,2,6,0
Delton,0,3,4,0
Delton,0,3,5,0
Delton,0,3,6,0
Delton,0,4,5,0
Delton,0,4,6,0
Delton,0,5,6,1
Eagerville,0,0,1,0
Eagerville,0,0,2,1
Eagerville,0,0,3,1
Eagerville,0,0,4,0
Eagerville,0,1,2,1
Eagerville,0,1,3,1
Eagerville,0,1,4,0
Eagerville,0,2,3,1
Eagerville,0,2,4,0
Eagerville,0,3,4,0
Eudora,0,0,1,0
Eudora,0,0,2,1
Eudora,0,0,3,0
Eudora,0,0,4,1
Eudora,0,0,5,1
Eudora,0,0,6,0
Eudora,0,0,7,0
Eudora,0,0,8,1
Eudora,0,0,9,1
Eudora,0,1,2,1
Eudora,0,1,3,0
Eudora,0,1,4,1
Eudora,0,1,5,1
Eudora,0,1,6,1
Eudora,0,1,7,0
Eudora,0,1,8,1
Eudora,0,1,9,1
Eudora,0,2,3,0
Eudora,0,2,4,0
Eudora,0,2,5,1
Eudora,0,2,6,1
Eudora,0,2,7,1
Eudora,0,2,8,1
Eudora,0,2,9,0
Eudora,0,3,4,1
Eudora,0,3,5,0
Eudora,0,3,6,1
Eudora,0,3,7,0
Eudora,0,3,8,0
Eudora,0,3,9,1
Eudora,0,4,5,1
Eudora,0,4,6,1
Eudora,0,4,7,0
Eudora,0,4,8,1
Eudora,0,4,9,1
Eudora,0,5,6,1
Eudora,0,5,7,0
Eudora,0,5,8,1
Eudora,0,5,9,1
Eudora,0,6,7,1
Eudora,0,6,8,1
Eudora,0,6,9,1
Eudora,0,7,8,0
Eudora,0,7,9,0
Eudora,0,8,9,1
Goffs,1,0,1,0
Goffs,1,0,2,0
Goffs,1,0,3,0
Goffs,1,0,4,0
Goffs,1,0,5,0
Goffs,1,0,6,0
Goffs,1,0,7,0
Goffs,1,0,8,0
Goffs,1,0,9,0
Goffs,1,0,10,0
Goffs,1,0,11,0
Goffs,1,0,12,0
Goffs,1,0,13,0
Goffs,1,0,14,0
Goffs,1,1,2,0
Goffs,1,1,3,0
Goffs,1,1,4,0
Goffs,1,1,5,0
Goffs,1,1,6,0
Goffs,1,1,7,0
Goffs,1,1,8,0
Goffs,1,1,9,0
Goffs,1,1,10,1
Goffs,1,1,11,0
Goffs,1,1,12,0
Goffs,1,1,13,0
Goffs,1,1,14,0
Goffs,1,2,3,0
Goffs,1,2,4,0
Goffs,1,2,5,0
Goffs,1,2,6,0
Goffs,1,2,7,0
Goffs,1,2,8,0
Goffs,1,2,9,0
Goffs,1,2,10,0
Goffs,1,2,11,0
Goffs,1,2,12,0
Goffs,1,2,13,0
Goffs,1,2,14,1
Goffs,1,3,4,0
Goffs,1,3,5,0
Goffs,1,3,6,1
Goffs,1,3,7,0
Goffs,1,3,8,0
Goffs,1,3,9,0
Goffs,1,3,10,0
Goffs,1,3,11,0
Goffs,1,3,12,0
Goffs,1,3,13,0
Goffs,1,3,14,0
Goffs,1,4,5,0
Goffs,1,4,6,0
Goffs,1,4,7,0
Goffs,1,4,8,0
Goffs,1,4,9,0
Goffs,1,4,10,1
Goffs,1,4,11,0
Goffs,1,4,12,0
Goffs,1,4,13,0
Goffs,1,4,14,1
Goffs,1,5,6,0
Goffs,1,5,7,0
Goffs,1,5,8,0
Goffs,1,5,9,0
Goffs,1,5,10,0
Goffs,1,5,11,0
Goffs,1,5,12,0
Goffs,1,5,13,1
Goffs,1,5,14,0
Goffs,1,6,7,1
Goffs,1,6,8,0
Goffs,1,6,9,0
Goffs,1,6,10,0
Goffs,1,6,11,0
Goffs,1,6,12,0
Goffs,1,6,13,1
Goffs,1,6,14,0
Goffs,1,7,8,0
Goffs,1,7,9,0
Goffs,1,7,10,0
Goffs,1,7,11,0
Goffs,1,7,12,0
Goffs,1,7,13,0
Goffs,1,7,14,0
Goffs,1,8,9,0
Goffs,1,8,10,0
Goffs,1,8,11,0
Goffs,1,8,12,0
Goffs,1,8,13,0
Goffs,1,8,14,0
Goffs,1,9,10,1
Goffs,1,9,11,0
Goffs,1,9,12,0
Goffs,1,9,13,0
Goffs,1,9,14,0
Goffs,1,10,11,0
Goffs,1,10,12,0
Goffs,1,10,13,0
Goffs,1,10,14,0
Goffs,1,11,12,0
Goffs,1,11,13,0
Goffs,1,11,14,0
Goffs,1,12,13,0
Goffs,1,12,14,0
Goffs,1,13,14,0
Goffs,0,0,1,0
Goffs,0,0,2,0
Goffs,0,0,3,1
Goffs,0,0,4,1
Goffs,0,0,5,0
Goffs,0,0,6,1
Goffs,0,0,7,1
Goffs,0,0,8,1
Goffs,0,0,9,0
Goffs,0,0,10,0
Goffs,0,0,11,0
Goffs,0,0,12,1
Goffs,0,1,2,0
Goffs,0,1,3,0
Goffs,0,1,4,0
Goffs,0,1,5,0
Goffs,0,1,6,0
Goffs,0,1,7,0
Goffs,0,1,8,0
Goffs,0,1,9,0
Goffs,0,1,10,0
Goffs,0,1,11,1
Goffs,0,1,12,0
Goffs,0,2,3,0
Goffs,0,2,4,0
Goffs,0,2,5,0
Goffs,0,2,6,1
Goffs,0,2,7,0
Goffs,0,2,8,0
Goffs,0,2,9,0
Goffs,0,2,10,1
Goffs,0,2,11,0
Goffs,0,2,12,0
Goffs,0,3,4,0
Goffs,0,3,5,0
Goffs,0,3,6,0
Goffs,0,3,7,0
Goffs,0,3,8,0
Goffs,0,3,9,0
Goffs,0,3,10,0
Goffs,0,3,11,0
Goffs,0,3,12,0
Goffs,0,4,5,0
Goffs,0,4,6,1
Goffs,0,4,7,1
Goffs,0,4,8,1
Goffs,0,4,9,0
Goffs,0,4,10,0
Goffs,0,4,11,0
Goffs,0,4,12,1
Goffs,0,5,6,0
Goffs,0,5,7,0
Goffs,0,5,8,0
Goffs,0,5,9,1
Goffs,0,5,10,0
Goffs,0,5,11,0
Goffs,0,5,12,0
Goffs,0,6,7,1
Goffs,0,6,8,1
Goffs,0,6,9,0
Goffs,0,6,10,1
Goffs,0,6,11,0
Goffs,0,6,12,1
Goffs,0,7,8,1
Goffs,0,7,9,0
Goffs,0,7,10,0
Goffs,0,7,11,1
Goffs,0,7,12,1
Goffs,0,8,9,0
Goffs,0,8,10,0
Goffs,0,8,11,0
Goffs,0,8,12,0
Goffs,0,9,10,0
Goffs,0,9,11,0
Goffs,0,9,12,0
Goffs,0,10,11,0
Goffs,0,10,12,1
Goffs,0,11,12,0
Mesic,1,0,1,0
Mesic,1,0,2,0
Mesic,1,0,3,0
Mesic,1,0,4,0
Mesic,1,0,5,0
Mesic,1,0,6,1
Mesic,1,0,7,0
Mesic,1,0,8,0
Mesic,1,0,9,0
Mesic,1,0,10,0
Mesic,1,0,11,0
Mesic,1,1,2,0
Mesic,1,1,3,1
Mesic,1,1,4,0
Mesic,1,1,5,0
Mesic,1,1,6,0
Mesic,1,1,7,1
Mesic,1,1,8,0
Mesic,1,1,9,0
Mesic,1,1,10,0
Mesic,1,1,11,0
Mesic,1,2,3,0
Mesic,1,2,4,0
Mesic,1,2,5,0
Mesic,1,2,6,1
Mesic,1,2,7,0
Mesic,1,2,8,0
Mesic,1,2,9,0
Mesic,1,2,10,0
Mesic,1,2,11,0
Mesic,1,3,4,0
Mesic,1,3,5,0
Mesic,1,3,6,0
Mesic,1,3,7,1
Mesic,1,3,8,1
Mesic,1,3,9,1
Mesic,1,3,10,0
Mesic,1,3,11,0
Mesic,1,4,5,0
Mesic,1,4,6,0
Mesic,1,4,7,0
Mesic,1,4,8,0
Mesic,1,4,9,1
Mesic,1,4,10,0
Mesic,1,4,11,0
Mesic,1,5,6,1
